step,time,cmd_vx,cmd_vy,cmd_wz,V_hat,Q_val,threshold,alpha,n_iters,filtered_abs_max,filtered_norm,delta_target_abs_max,delta_target_norm,roll,pitch,active,filtered_pb_0,filtered_pb_1,filtered_pb_2,filtered_pb_3,filtered_pb_4,filtered_pb_5,filtered_pb_6,filtered_pb_7,filtered_pb_8,filtered_pb_9,filtered_pb_10,filtered_pb_11,walk_target_pb_0,walk_target_pb_1,walk_target_pb_2,walk_target_pb_3,walk_target_pb_4,walk_target_pb_5,walk_target_pb_6,walk_target_pb_7,walk_target_pb_8,walk_target_pb_9,walk_target_pb_10,walk_target_pb_11,action_pb_0,action_pb_1,action_pb_2,action_pb_3,action_pb_4,action_pb_5,action_pb_6,action_pb_7,action_pb_8,action_pb_9,action_pb_10,action_pb_11
0,0.016529083251953125,0.0,0.0,0.0,-0.33487167954444885,-0.33487167954444885,-0.3331973211467266,1.0,0,0.23796425759792328,0.3287915587425232,0.07138928025960922,0.09863746911287308,0.010617096908390522,-0.0991232693195343,1,0.1049133,-0.080442764,-0.052354064,0.012330937,-0.039880995,-0.09944644,0.059387974,-0.055682685,-0.007564005,0.23796426,-0.032848448,0.10891393,-0.03015086,0.98118913,-1.9717371,0.008758202,0.9359766,-1.9146829,0.01986248,0.9912056,-1.9468067,0.017148703,0.9387635,-1.9379644,0.00132313,0.9570563,-1.9874433,0.012457483,0.9240123,-1.9445168,0.037678875,0.9745008,-1.9490758,0.08853798,0.92890894,-1.9052902
1,0.036553144454956055,0.0,0.0,0.0,-0.3375992774963379,-0.3375992774963379,-0.3359112811088562,1.0,0,0.21147723495960236,0.2914194166660309,0.06344317644834518,0.08742579817771912,0.005139708518981934,-0.10922612249851227,1,0.089177094,-0.08182008,-0.036209222,-0.0049327505,-0.051543027,-0.086122096,0.034002397,-0.04927495,-0.02345214,0.21147723,-0.021585412,0.09770529,-0.008328259,0.9596882,-1.931179,0.0019789115,0.9021699,-1.9028355,0.020682096,0.9643898,-1.9063566,0.001769036,0.9119914,-1.916265,0.01842487,0.93514216,-1.9420418,0.0004990862,0.88670695,-1.9286721,0.030882817,0.9496073,-1.9133922,0.06521221,0.9055158,-1.8869535
2,0.056485652923583984,0.0,0.0,0.0,-0.3400687277317047,-0.3400687277317047,-0.3383683840930462,1.0,0,0.14318323135375977,0.20834890007972717,0.04295492172241211,0.06250462681055069,-0.013035777024924755,-0.09339791536331177,1,0.06554695,-0.02657354,-0.036742866,0.03359933,-0.024839671,-0.14318323,-0.0028376759,0.0032519985,0.032789372,0.11027721,0.019511733,0.034260202,-0.020680748,0.94130504,-1.9280554,-0.012843825,0.91913295,-1.9327505,0.03181792,0.9506062,-1.9502147,-0.0032293722,0.94878924,-1.9329523,-0.0010166615,0.933333,-1.9390782,-0.0027640257,0.91168106,-1.9757054,0.030966617,0.95158184,-1.940378,0.029853795,0.9546428,-1.9226742
3,0.07677364349365234,0.0,0.0,0.0,-0.33050668239593506,-0.33050668239593506,-0.3288541489839554,1.0,0,0.1527627855539322,0.19394752383232117,0.045828819274902344,0.058184266090393066,-0.01837906613945961,-0.0725470706820488,1,0.02315795,-0.021066258,-0.019753303,0.026306767,-0.04762416,-0.15276279,-0.027048556,-0.025656557,0.0056012874,0.019119712,0.06166882,-0.066022195,-0.00870759,0.98479146,-1.9324355,-0.0075798705,0.9268714,-1.9783607,0.057945535,0.9753403,-1.9893945,0.0065688863,0.939923,-1.9908057,-0.0017602048,0.9784716,-1.9383615,0.00031215977,0.9125842,-2.0241895,0.049830966,0.9676433,-1.9877142,0.0123048,0.9584236,-2.0106125
4,0.09310436248779297,0.0,0.0,0.0,-0.33543336391448975,-0.33543336391448975,-0.3337561970949173,1.0,0,0.1754927635192871,0.2929129898548126,0.05264783650636673,0.08787387609481812,-0.007822012528777122,-0.07378833740949631,1,0.10658129,-0.09914285,-0.056510117,-0.0040644556,-0.04418135,-0.10035514,0.057137717,-0.05116966,-0.019068213,0.17549276,-0.029153975,0.107153,0.006564036,1.0122373,-1.9721663,0.011135839,0.8880712,-1.9468629,0.042432405,0.9496186,-1.9539541,0.018270336,0.8812692,-1.9116727,0.038538426,0.9824945,-1.9891193,0.009916502,0.8748168,-1.9769695,0.05957372,0.9342677,-1.9596746,0.07091817,0.872523,-1.8795269
5,0.11496973037719727,0.0,0.0,0.0,-0.34117841720581055,-0.34117841720581055,-0.3394725251197815,1.0,0,0.21311894059181213,0.35605388879776,0.06393568217754364,0.10681614279747009,-0.0014367192052304745,-0.09215040504932404,1,0.16030617,-0.09328444,-0.034117248,0.032213308,-0.022947868,-0.07787834,0.07331134,-0.099700406,-0.042391747,0.21311894,-0.071506746,0.1262391,-0.0032022968,0.99844813,-2.0006573,0.017308213,0.8663063,-1.9164634,0.03871236,0.941412,-1.9561124,0.018368304,0.8778211,-1.8605093,0.044889558,0.9704628,-2.0108924,0.026972204,0.85942197,-1.9398268,0.060705762,0.9115018,-1.9688299,0.082303986,0.8563691,-1.8226376
6,0.1348097324371338,0.0,0.0,0.0,-0.33380070328712463,-0.33380070328712463,-0.332131699770689,1.0,0,0.15467469394207,0.2385322004556656,0.04640240967273712,0.07155963778495789,-0.020360112190246582,-0.09097544848918915,1,0.06430429,-0.049283862,-0.042118575,0.031518083,-0.047549684,-0.121202946,0.031839155,-0.041720375,0.019057393,0.1546747,-8.806959e-05,0.059777956,-0.023451038,1.0009732,-2.0028489,0.0013259575,0.8706678,-1.9256524,0.040433638,0.97489965,-1.9864798,0.010213822,0.88732046,-1.870277,-0.0041597486,0.98618805,-2.0154843,0.010781383,0.85640293,-1.9620132,0.049985386,0.9623835,-1.9807625,0.05661623,0.88729405,-1.8523437
7,0.1548459529876709,0.0,0.0,0.0,-0.33201634883880615,-0.33201634883880615,-0.33035626709461213,1.0,0,0.1330776959657669,0.18625521659851074,0.03992331027984619,0.05587659776210785,-0.03492095693945885,-0.07153403759002686,1,0.032624245,-0.054008484,-0.032588992,0.032222092,-0.030894864,-0.1330777,-0.027948644,7.368624e-05,0.044570193,0.07375217,0.007297817,0.041048814,-0.01518742,1.014609,-1.9618406,0.00027152896,0.8845596,-1.9523321,0.046483554,0.9757075,-1.9878619,0.011732057,0.8982352,-1.9138657,-0.0054001464,0.9984064,-1.9716173,0.009938157,0.8752911,-1.9922554,0.03809896,0.9757296,-1.9744908,0.03385771,0.90042454,-1.901551
8,0.17442679405212402,0.0,0.0,0.0,-0.3367422819137573,-0.3367422819137573,-0.3350585705041885,1.0,0,0.10212413221597672,0.16059499979019165,0.030637264251708984,0.05075894668698311,-0.029898349195718765,-0.05391043424606323,1,0.037212,-0.064012215,-0.021571916,0.0061391634,-0.033660784,-0.10212413,-0.009561986,-0.021467831,0.016608242,0.06543677,0.010599537,0.054959793,0.009890869,1.0249816,-1.9552375,0.009024404,0.88153887,-1.9574358,0.06399874,0.95536464,-1.9705945,0.028340876,0.8956295,-1.9111739,0.021054469,1.0,-1.9617091,0.010866153,0.87144065,-1.9880731,0.06113014,0.9489243,-1.965612,0.047971908,0.8988094,-1.894686
9,0.19325542449951172,0.0,0.0,0.0,-0.3429904580116272,-0.3429904580116272,-0.34127550572156906,1.0,0,0.10426793247461319,0.17306344211101532,0.04700291156768799,0.06824620068073273,-0.024475345388054848,-0.05054153874516487,1,0.07165755,-0.052420795,-0.0401172,0.016581457,-0.021276336,-0.10426793,0.0010309895,-0.06771038,-0.03411974,0.049485486,0.024420522,-0.008018663,0.00090560317,1.0470029,-1.9818636,0.0012859777,0.86824983,-1.9328303,0.05659897,0.95116526,-1.9601257,0.017721795,0.85444415,-1.887404,0.02240287,1.0,-1.9938987,0.006260415,0.86186695,-1.9641107,0.056908265,0.9308522,-1.9703616,0.03256744,0.86177033,-1.8898096
